RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,TO SECURITY GROUP,FROM TYPE,DESCRIPTION,DIRECTION,Notes
1,AppD_RHEL_Instances,53,53,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
2,AppD_RHEL_Instances,88,88,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
3,AppD_RHEL_Instances,135,135,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
4,AppD_RHEL_Instances,389,389,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
5,AppD_RHEL_Instances,445,445,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
6,AppD_RHEL_Instances,464,464,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
7,AppD_RHEL_Instances,636,636,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
8,AppD_RHEL_Instances,1024,65535,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
9,AppD_RHEL_Instances,3268,3269,tcp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
10,AppD_RHEL_Instances,53,53,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
11,AppD_RHEL_Instances,88,88,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
12,AppD_RHEL_Instances,123,123,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
13,AppD_RHEL_Instances,138,138,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
14,AppD_RHEL_Instances,389,389,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
15,AppD_RHEL_Instances,445,445,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
16,AppD_RHEL_Instances,464,464,udp,Active Directory,Group,AppD_RHEL_Instances to Active Directory,Traversal,
17,AppD_RHEL_Instances,4122,4122,tcp,Mgt_Trend,Group,AppD_RHEL_Instances to Mgt_Trend,Traversal,
18,AppD_RHEL_Instances,80,80,tcp,Mgt_ToolingALB-06,Group,AppD_RHEL_Instances to Mgt_ToolingALB-06,Traversal,
19,Mgt_ToolingALB-06,80,80,tcp,Mgt_AWX,Group,Mgt_ToolingALB-06 to Mgt_AWX,Traversal,
20,AppD_RHEL_Instances,443,443,tcp,Mgt_EnterpriseALB-05,Group,AppD_RHEL_Instances to Mgt_EnterpriseALB-05,Traversal,
21,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_PrivacyIdea,Group,Mgt_EnterpriseALB-05 to Mgt_PrivacyIdea,Traversal,
22,AppD_RHEL_Instances,8081,8081,tcp,Mgt_ToolingALB-06,Group,AppD_RHEL_Instances to Mgt_ToolingALB-06,Traversal,
23,AppD_RHEL_Instances,443,443,tcp,AppD_Private_Link,Group,AppD_RHEL_Instances to AppD_Private_Link,Traversal,
24,AppD_Windows_Instances,53,53,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
25,AppD_Windows_Instances,88,88,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
26,AppD_Windows_Instances,135,135,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
27,AppD_Windows_Instances,389,389,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
28,AppD_Windows_Instances,445,445,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
29,AppD_Windows_Instances,464,464,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
30,AppD_Windows_Instances,636,636,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
31,AppD_Windows_Instances,1024,65535,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
32,AppD_Windows_Instances,3268,3269,tcp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
33,AppD_Windows_Instances,53,53,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
34,AppD_Windows_Instances,88,88,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
35,AppD_Windows_Instances,123,123,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
36,AppD_Windows_Instances,138,138,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
37,AppD_Windows_Instances,389,389,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
38,AppD_Windows_Instances,445,445,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
39,AppD_Windows_Instances,464,464,udp,Active Directory,Group,AppD_Windows_Instances to Active Directory,Traversal,
40,AppD_Windows_Instances,4122,4122,tcp,Mgt_Trend,Group,AppD_Windows_Instances to Mgt_Trend,Traversal,
41,AppD_Windows_Instances,443,443,tcp,AppD_Private_Link,Group,AppD_Windows_Instances to AppD_Private_Link,Traversal,
42,AppD_Windows_Instances,80,80,tcp,Mgt_ToolingALB-06,Group,AppD_Windows_Instances to Mgt_ToolingALB-06,Traversal,
43,AppD_Windows_Instances,443,443,tcp,Mgt_EnterpriseALB-05,Group,AppD_Windows_Instances to Mgt_EnterpriseALB-05,Traversal,
44,AppD_Windows_Instances,8081,8081,tcp,Mgt_ToolingALB-06,Group,AppD_Windows_Instances to Mgt_ToolingALB-06,Traversal,
45,AppD_Windows_Instances,443,443,tcp,AppD_Private_Link,Group,AppD_Windows_Instances to AppD_Private_Link,Traversal,
46,APPDATATemp,53,53,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
47,APPDATATemp,88,88,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
48,APPDATATemp,135,135,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
49,APPDATATemp,389,389,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
50,APPDATATemp,445,445,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
51,APPDATATemp,464,464,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
52,APPDATATemp,636,636,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
53,APPDATATemp,1024,65535,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
54,APPDATATemp,3268,3269,tcp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
55,APPDATATemp,53,53,udp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
56,APPDATATemp,88,88,udp,Active Directory,Group,APPDATATemp to Active Directory,Traversal,
