RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
1,dmz_Proxy,3128,3128,tcp,172.23.32.0/19,CIDR,172.23.160.0/19 to connect via 3128 to dmz_Proxy,Egress,(AppData VPC)
2,Mgt_Proxy,3128,3128,tcp,172.23.64.0/19,CIDR,172.23.192.0/19 to connect via 3128 to Mgt_Proxy,Egress,(MGT VPC)
3,dmz_Proxy,3128,3128,tcp,172.23.0.0/19,CIDR,172.23.128.0/19 to connect via 3128 to dmz_Proxy,Egress,(DMZ VPC)
4,Mgt_Proxy,3128,3128,tcp,172.23.32.0/19,CIDR,172.23.160.0/19 to connect via 3128 to Mgt_Proxy,Egress,(AppData VPC)
5,Mgt_Proxy,3128,3128,tcp,172.23.0.0/19,CIDR,172.23.128.0/19 to connect via 3128 to Mgt_Proxy,Egress,(DMZ VPC)
6,Mgt_Proxy,3128,3128,tcp,MGMTTemp,Group,MGMTTemp to connect via 3128 to Mgt_Proxy,Egress,
7,dmz_Proxy,3128,3128,tcp,DMZTemp,Group,DMZTemp to connect via 3128 to dmz_Proxy,Egress,
8,dmz_Proxy,3128,3128,tcp,APPDATATemp,Group,APPDATATemp to connect via 3128 to dmz_Proxy,Egress,
9,Mgt_Proxy,3128,3128,tcp,DMZTemp,Group,DMZTemp to connect via 3128 to Mgt_Proxy,Egress,
10,Mgt_Proxy,3128,3128,tcp,APPDATATemp,Group,APPDATATemp to connect via 3128 to Mgt_Proxy,Egress,
11,Mgt_C2SVPN,1194,1194,udp,82.0.240.237/32,CIDR,82.0.240.237/32 to connect via 1194 to Mgt_C2SVPN,Ingress,SG DNS
12,Mgt_C2SVPN,1194,1194,udp,164.134.2.3/32,CIDR,164.134.2.3/32 to connect via 1194 to Mgt_C2SVPN,Ingress,SG DNS
13,Mgt_C2SVPN,1194,1194,udp,164.134.2.12/32,CIDR,164.134.2.12/32 to connect via 1194 to Mgt_C2SVPN,Ingress,SG DNS
